name,date,country,genre,rating,rating_count,link,audio,subtitles,description,users
1+1, 2011,Франция,"драма, комедия",8.8,1 316 571,https://www.kinopoisk.ru/film/535341/,0,0,0,0
Джентльмены, 2019,"Великобритания, США","криминал, комедия",8.5,860 222,https://www.kinopoisk.ru/film/1143242/,0,0,0,0
Начало, 2010,"США, Великобритания","фантастика, боевик",8.7,815 115,https://www.kinopoisk.ru/film/447301/,0,0,0,0
Волк с Уолл-стрит, 2013,США,"драма, криминал",7.9,757 042,https://www.kinopoisk.ru/film/462682/,0,0,0,0
Зеленая миля, 1999,США,"фэнтези, драма",9.1,703 557,https://www.kinopoisk.ru/film/435/,0,0,0,0
Рик и Морти, 2013–,США,"мультфильм, комедия",9.0,632 949,https://www.kinopoisk.ru/film/685246/,0,0,0,0
Зверополис, 2016,США,"мультфильм, комедия",8.3,632 914,https://www.kinopoisk.ru/film/775276/,0,0,0,0
Веном, 2018,"США, Китай","фантастика, боевик",6.9,609 472,https://www.kinopoisk.ru/film/463634/,0,0,0,0
Пираты Карибского моря: Проклятие Черной жемчужины, 2003,США,"фэнтези, боевик",8.3,606 573,https://www.kinopoisk.ru/film/4374/,0,0,0,0
Гнев человеческий, 2021,"Великобритания, США","боевик, триллер",7.6,604 565,https://www.kinopoisk.ru/film/1318972/,0,0,0,0
Мстители: Война бесконечности, 2018,США,"фантастика, боевик",7.9,602 535,https://www.kinopoisk.ru/film/843649/,0,0,0,1
Остров проклятых, 2009,США,"триллер, детектив",8.5,600 196,https://www.kinopoisk.ru/film/397667/,0,0,0,1
Титаник, 1997,"США, Мексика","мелодрама, история",8.4,589 661,https://www.kinopoisk.ru/film/2213/,0,0,0,1
Один дома, 1990,США,"комедия, семейный",8.2,588 384,https://www.kinopoisk.ru/film/8124/,0,0,0,1
Матрица, 1999,"США, Австралия","фантастика, боевик",8.5,562 641,https://www.kinopoisk.ru/film/301/,0,0,0,1
Области тьмы, 2011,"США, Мексика","триллер, драма",8.0,556 045,https://www.kinopoisk.ru/film/462606/,0,0,0,1
Криминальное чтиво, 1994,США,"криминал, драма",8.6,543 944,https://www.kinopoisk.ru/film/342/,0,0,0,1
Король Лев, 1994,США,"мультфильм, мюзикл",8.8,542 663,https://www.kinopoisk.ru/film/2360/,0,0,0,1
Мстители: Финал, 2019,США,"фантастика, боевик",7.7,541 637,https://www.kinopoisk.ru/film/843650/,0,0,0,1
Зеленая книга, 2018,"США, Китай","биография, комедия",8.4,536 908,https://www.kinopoisk.ru/film/1108577/,0,0,0,1
