name,date,country,genre,rating,rating_count,kind,link,subscription,audio,subtitles,description
Друзья,1994–2004,США,"комедия, мелодрама",9.2,420108,serial,https://www.kinopoisk.ru/film/77044/,По подписке Плюс,0,0,0
Жил-был пёс,1982,СССР,"мультфильм, комедия",9.2,382528,film,https://www.kinopoisk.ru/film/45319/,По подписке Плюс,0,0,0
LEGO Ниндзяго,2019–,"Канада, Дания","мультфильм, боевик",9.2,3384,serial,https://www.kinopoisk.ru/film/1282979/,По подписке Плюс,0,0,0
Жизнь человека. Последнее интервью,2020,Россия,документальный,9.2,4808,film,https://www.kinopoisk.ru/film/2500772/,По подписке Плюс,0,0,0
Побег из Шоушенка,1994,США,драма,9.1,793542,film,https://www.kinopoisk.ru/film/326/,online,0,0,0
Малышарики,2015–,Россия,"мультфильм, детский",9.1,46038,serial,https://www.kinopoisk.ru/film/988056/,По подписке Плюс,0,0,0
Зеленая миля,1999,США,"фэнтези, драма",9.1,704448,film,https://www.kinopoisk.ru/film/435/,По подписке Плюс,0,0,0
Топ Гир: Лучшее,2006–2014,Великобритания,"реальное ТВ, ток-шоу",9.0,4581,serial,https://www.kinopoisk.ru/film/1227897/,По подписке Плюс,0,0,0
Рик и Морти,2013–,США,"мультфильм, комедия",9.0,634209,serial,https://www.kinopoisk.ru/film/685246/,По подписке Плюс,0,0,0
Шпионы в дикой природе,2017–,Великобритания,документальный,9.0,306,serial,https://www.kinopoisk.ru/film/1171896/,По подписке Плюс,0,0,0
Игра престолов,2011–2019,"США, Великобритания","фэнтези, драма",9.0,653527,serial,https://www.kinopoisk.ru/film/464963/,По подписке Плюс Мульти с Амедиатекой,0,0,0
LEGO City Приключения,2019–2020,"США, Франция","мультфильм, детский",9.0,2904,serial,https://www.kinopoisk.ru/film/1263620/,По подписке Плюс,0,0,0
Гравити Фолз,2012–2016,США,"мультфильм, комедия",9.0,337385,serial,https://www.kinopoisk.ru/film/591929/,По подписке Плюс,0,0,0
Тропические острова,2020–2020,"Великобритания, США",документальный,9.0,4558,serial,https://www.kinopoisk.ru/film/1392470/,По подписке Плюс,0,0,0
Место встречи изменить нельзя,1979,СССР,"криминал, детектив",9.0,228205,film,https://www.kinopoisk.ru/film/77202/,По подписке Плюс,0,0,0
Смешарики. Новый сезон,2020–,Россия,"мультфильм, детский",8.9,125198,serial,https://www.kinopoisk.ru/film/1379016/,По подписке Плюс,0,0,0
Говорящий Том и друзья,2014–,Кипр,"мультфильм, детский",8.9,2629,serial,https://www.kinopoisk.ru/film/1189947/,По подписке Плюс,0,0,0
Форрест Гамп,1994,США,"драма, комедия",8.9,642923,film,https://www.kinopoisk.ru/film/448/,online,0,0,0
Романовы,2013,Россия,"документальный, история",8.9,72011,film,https://www.kinopoisk.ru/film/743975/,По подписке Плюс,0,0,0
Семнадцать мгновений весны,1973,СССР,"военный, драма",8.9,81619,film,https://www.kinopoisk.ru/film/89540/,По подписке Плюс,0,0,0
Чернобыль,2019,"США, Великобритания","драма, история",8.9,329940,film,https://www.kinopoisk.ru/film/1227803/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Джейми Оливер: Продолжаем готовить,2020–2020,Великобритания,реальное ТВ,8.9,1391,serial,https://www.kinopoisk.ru/film/1374525/,По подписке Плюс,0,0,0
Хочу все знать!,2021–,Россия,"документальный, детский",8.9,4790,serial,https://www.kinopoisk.ru/film/4459937/,По подписке Плюс,0,0,0
Во все тяжкие,2008–2013,США,"криминал, драма",8.9,397320,serial,https://www.kinopoisk.ru/film/404900/,online,0,0,0
Великая война,2010–2012,Россия,"документальный, военный",8.8,58523,serial,https://www.kinopoisk.ru/film/503264/,По подписке Плюс,0,0,0
Гордость и предубеждение,1995,Великобритания,"драма, мелодрама",8.8,67790,film,https://www.kinopoisk.ru/film/89518/,По подписке Плюс,0,0,0
Михаил Зорин. Жизнь продолжается!,2020,Россия,"документальный, история",8.8,441,film,https://www.kinopoisk.ru/film/4448995/,По подписке Плюс,0,0,0
Космос: Возможные миры,2020–2020,США,документальный,8.8,1501,serial,https://www.kinopoisk.ru/film/1320688/,По подписке Плюс,0,0,0
Список Шиндлера,1993,США,"драма, биография",8.8,371651,film,https://www.kinopoisk.ru/film/329/,online,0,0,0
1+1,2011,Франция,"драма, комедия",8.8,1317812,film,https://www.kinopoisk.ru/film/535341/,По подписке Плюс,0,0,0
Доктор Хаус,2004–2012,США,"драма, детектив",8.8,368965,serial,https://www.kinopoisk.ru/film/178710/,По подписке Плюс,0,0,0
Трое из Простоквашино,1978,СССР,"мультфильм, детский",8.8,269431,film,https://www.kinopoisk.ru/film/42326/,По подписке Плюс,0,0,0
Просто о важном. Про Миру и Гошу,2019–2020,Россия,"мультфильм, детский",8.8,3532,serial,https://www.kinopoisk.ru/film/2039957/,По подписке Плюс,0,0,0
Иван Васильевич меняет профессию,1973,СССР,"комедия, фантастика",8.8,706822,film,https://www.kinopoisk.ru/film/42664/,По подписке Плюс,0,0,0
Спина к спине,2020–,Россия,мультфильм,8.8,551,serial,https://www.kinopoisk.ru/film/1445210/,По подписке Плюс,0,0,0
